,type,geometry.type,geometry.coordinates,properties.name,properties.placename,properties.id,properties.state,properties.feature_term,properties.latitude,properties.longitude,properties.TLCMapLinkBack,properties.TLCMapDataset,properties.category,properties.group,properties.authority,properties.supply_date,display.popup.links,properties.description,properties.linkback,properties.datestart,properties.dateend,properties.udatestart,properties.udateend,properties.StationID,properties.Years,properties.Percent,properties.AWS,properties.place,properties.language_code,properties.language_name,properties.language_synonym,properties.thesaurus_heading_language,properties.thesaurus_heading_people,properties.approximate_latitude_of_language_variety,properties.approximate_longitude_of_language_variety,properties.uri,properties.State,properties.Newspaper Place of Publication,properties.Newspaper,properties.Article Word Count,properties.Article Link,properties.original_id,properties.street,properties.suburb,properties.postcode,properties.web_links,properties.source,properties.original_data_source,properties.parish,properties.lga
23,Feature,Point,"[143.55, -33.9]",MAGENTA,,t1870e,,,-33.9,143.55,https://ghap.tlcmap.org/search?id=t1870e,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t1870e', 'link': 'https://ghap.tlcmap.org/search?id=t1870e'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49024,1902-01-01,1955-10-01,-2145952800000.0,-2145952800000.0,49024,52.3,97,N,,,,,,,,,,,,,,,,,,,,,,,
24,Feature,Point,"[143.6, -33]",PRINCESS LAKE,,t18f21,,,-33,143.6,https://ghap.tlcmap.org/search?id=t18f21,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t18f21', 'link': 'https://ghap.tlcmap.org/search?id=t18f21'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=47068,1914-01-01,1922-12-01,-1767261600000.0,-1767261600000.0,47068,9,100,N,,,,,,,,,,,,,,,,,,,,,,,
25,Feature,Point,"[143.8026, -33.6918]",HATFIELD (THE VALE),,t19358,,,-33.6918,143.8026,https://ghap.tlcmap.org/search?id=t19358,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t19358', 'link': 'https://ghap.tlcmap.org/search?id=t19358'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49047,1924-01-01,2013-12-01,-1451728800000.0,-1451728800000.0,49047,89.8,100,N,,,,,,,,,,,,,,,,,,,,,,,
26,Feature,Point,"[143.0833, -33.0833]",POONCARIE (WILKURRA),,t19471,,,-33.0833,143.0833,https://ghap.tlcmap.org/search?id=t19471,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t19471', 'link': 'https://ghap.tlcmap.org/search?id=t19471'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=47044,1926-08-01,1974-01-01,-1370253600000.0,-1370253600000.0,47044,40.3,85,N,,,,,,,,,,,,,,,,,,,,,,,
27,Feature,Point,"[143.0527, -33.9454]",EUSTON (TURLEE),,t1a2ad,,,-33.9454,143.0527,https://ghap.tlcmap.org/search?id=t1a2ad,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t1a2ad', 'link': 'https://ghap.tlcmap.org/search?id=t1a2ad'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=49111,1960-01-01,2011-12-01,-315655200000.0,-315655200000.0,49111,52,100,N,,,,,,,,,,,,,,,,,,,,,,,
28,Feature,Point,"[143.4, -33.3392]",MULURULU AWS,,t1bce7,,,-33.3392,143.4,https://ghap.tlcmap.org/search?id=t1bce7,https://ghap.tlcmap.org/publicdatasets/461,,,,,"[{'text': 'TLCMap Record: t1bce7', 'link': 'https://ghap.tlcmap.org/search?id=t1bce7'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/461'}]",,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=139&p_display_type=dataFile&p_stn_num=47113,2017-07-01,2022-12-01,1498831200000.0,1498831200000.0,47113,5.5,100,Y,,,,,,,,,,,,,,,,,,,,,,,
29,Feature,Point,"[143.153444, -33.727959]",Mungo National Park,Mungo National Park,teacc,NSW,,-33.727959,143.153444,https://ghap.tlcmap.org/search?id=teacc,https://ghap.tlcmap.org/publicdatasets/379,,,,,"[{'text': 'TLCMap Record: teacc', 'link': 'https://ghap.tlcmap.org/search?id=teacc'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/379'}]",A venue from The Australian Live Performance Database 'AusStage'.,https://www.ausstage.edu.au/pages/venue/3260,1992-10-01,1992-10-30,717861600000.0,717861600000.0,,,,,,,,,,,,,,,,,,,3260,,Hatfield,2715,,,,,
30,Feature,Point,"[143.3036190165782, -33.53172832674458]",Arumpo,,tb7a32,,,-33.53172832674458,143.3036190165782,https://ghap.tlcmap.org/search?id=tb7a32,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb7a32', 'link': 'https://ghap.tlcmap.org/search?id=tb7a32'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]",5N Arumpo S Menindee - Aboriginal meaning: a cockatoo.,https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Feature,Point,"[143.1084944498278, -33.50411055290539]",Garnpung,,tb8140,,,-33.50411055290539,143.1084944498278,https://ghap.tlcmap.org/search?id=tb8140,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb8140', 'link': 'https://ghap.tlcmap.org/search?id=tb8140'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]",6Q    Garnpung    E Pooncarie -,https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Feature,Point,"[143.6849204149053, -33.75384863321036]",Hatfield,,tb82b0,,,-33.75384863321036,143.6849204149053,https://ghap.tlcmap.org/search?id=tb82b0,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb82b0', 'link': 'https://ghap.tlcmap.org/search?id=tb82b0'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","8T   Hatfield   N Balranald -  named after place in Hertford, Eng.; the seat of the Marquis of Salisbury.",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Feature,Point,"[143.7675818314189, -33.33217344751178]",Manfred,,tb852d,,,-33.33217344751178,143.7675818314189,https://ghap.tlcmap.org/search?id=tb852d,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb852d', 'link': 'https://ghap.tlcmap.org/search?id=tb852d'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","10O Manfred S W Ivanhoe -	
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Feature,Point,"[143.1156782990509, -33.39719178763042]",Mulgo,,tb8681,,,-33.39719178763042,143.1156782990509,https://ghap.tlcmap.org/search?id=tb8681,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb8681', 'link': 'https://ghap.tlcmap.org/search?id=tb8681'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","6Q Mulgo E Pooncarie - Aboriginal meaning: a black swan.
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Feature,Point,"[143.7587759070608, -33.37585402224335]",Terrawynya,,tb8adb,,,-33.37585402224335,143.7587759070608,https://ghap.tlcmap.org/search?id=tb8adb,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb8adb', 'link': 'https://ghap.tlcmap.org/search?id=tb8adb'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","8M Terrawynya S Wilcannia - Aboriginal meaning: an ironbark tree.
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Feature,Point,"[143.0275313938473, -33.97151732988589]",Turlee,,tb8bca,,,-33.97151732988589,143.0275313938473,https://ghap.tlcmap.org/search?id=tb8bca,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb8bca', 'link': 'https://ghap.tlcmap.org/search?id=tb8bca'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","7R Turlee N W Balranald -	
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Feature,Point,"[143.0885197948613, -33.10813001849916]",Wilkurra,,tb8d68,,,-33.10813001849916,143.0885197948613,https://ghap.tlcmap.org/search?id=tb8d68,https://ghap.tlcmap.org/publicdatasets/549,,,,,"[{'text': 'TLCMap Record: tb8d68', 'link': 'https://ghap.tlcmap.org/search?id=tb8d68'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org/publicdatasets/549'}]","9P Wilkurra   S W Ivanhoe
Ref: Stretch Ledger A9082",https://livinghistories.newcastle.edu.au/nodes/view/101365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Feature,Point,"[143.31675, -33.46726]",Baymore,Baymore,a49bd1,NSW,homestead,-33.46726,143.31675,https://ghap.tlcmap.org/search?id=a49bd1,https://ghap.tlcmap.org,,,,,"[{'text': 'TLCMap Record: a49bd1', 'link': 'https://ghap.tlcmap.org/search?id=a49bd1'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Records (ANPS),State Records (ANPS),,
39,Feature,Point,"[143.45723, -33.10146]",C Lake,C Lake,a49bf0,NSW,homestead,-33.10146,143.45723,https://ghap.tlcmap.org/search?id=a49bf0,https://ghap.tlcmap.org,,,,,"[{'text': 'TLCMap Record: a49bf0', 'link': 'https://ghap.tlcmap.org/search?id=a49bf0'}, {'text': 'TLCMap Layer', 'link': 'https://ghap.tlcmap.org'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Records (ANPS),State Records (ANPS),,
